Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
1698504;1.35056;49.68611;"01° 21' 02.00'' Est, 49° 41' 10.00'' Nord";"76417";"PLAINE DU CLOS À CHEVAL";"AUTOROUTE 28 CENTRE D'EXPLOITATION DE LA DDE D929 224";"76680";"MAUCOMBLE";"Pylône autostable"; 36.0;"BOUYGUES"
1699377;0.45222;49.48417;"00° 27' 08.00'' Est, 49° 29' 03.00'' Nord";"76684";"TRIAGE DU NAIS";"CHEMIN DE LA FORET SCIERIE CD 910";"76430";"TANCARVILLE";"Pylône autostable"; 24.0;"FPS TOWERS"
1701576;1.22389;49.96750;"01° 13' 26.00'' Est, 49° 58' 03.00'' Nord";"76618";"VASSONVILLE";"CENTRALE ELECTRIQUE DE PENLY EDF";"76370";"SAINT-MARTIN-EN-CAMPAGNE";"Pylône autostable"; 84.0;"EDF ou GDF"
1705092;0.16083;49.62417;"00° 09' 39.00'' Est, 49° 37' 27.00'' Nord";"76361";"LES GRANDES FOSSES";;"76280";"HEUQUEVILLE";"Pylône autostable"; 32.8;"SFR"
1705118;0.25611;49.70389;"00° 15' 22.00'' Est, 49° 42' 14.00'' Nord";"76117";;"ROUTE DE BÉNOUVILLE QUARTIER ROMAIN";"76790";"BORDEAUX-SAINT-CLAIR";"Pylône autostable"; 25.1;"SFR"
1705134;0.33222;49.56000;"00° 19' 56.00'' Est, 49° 33' 36.00'' Nord";"76250";;"HAMEAU DU MIRLIBUT D 39";"76430";"ETAINHUS";"Pylône autostable"; 50.0;"SFR"
1705208;0.34278;49.48139;"00° 20' 34.00'' Est, 49° 28' 53.00'' Nord";"76657";;"CHEM DÉPARTEMENTAL N°17 CAP DE HODE";"76430";"SAINT-VIGOR-D'YMONVILLE";"Pylône autostable"; 23.0;"SFR"
1705218;0.35861;49.74778;"00° 21' 31.00'' Est, 49° 44' 52.00'' Nord";"76600";"LA PLAINE DE L'EGLISE";"R DU 11 NOVEMBRE 1918";"76400";"SAINT-LEONARD";"Pylône autostable"; 12.0;"SFR"
1705570;0.42111;49.53000;"00° 25' 16.00'' Est, 49° 31' 48.00'' Nord";"76522";"LE HAMEAU DU TEMPLE";"RUE DES SAULES";"76430";"LA REMUEE";"Pylône tubulaire"; 30.0;"SFR"
1709458;0.52917;49.56944;"00° 31' 45.00'' Est, 49° 34' 10.00'' Nord";"76092";"LES COTES";"R DU RELAIS";"76210";"BEUZEVILLETTE";"Pylône autostable"; 36.0;"TDF"
1711322;1.07806;49.31500;"01° 04' 41.00'' Est, 49° 18' 54.00'' Nord";"76282";;"CHEMIN RURAL DE FRENEUSE À LA SEINE RUE DU BEAU SITE";"76410";"FRENEUSE";"Pylône tubulaire"; 23.0;"ORANGE"
1711752;1.05028;49.38944;"01° 03' 01.00'' Est, 49° 23' 22.00'' Nord";"76497";;"RUE MARCEL CAVELIER";"76650";"PETIT-COURONNE";"Pylône autostable"; 25.0;"Société Privée SA"
1711853;1.21667;49.71806;"01° 13' 00.00'' Est, 49° 43' 05.00'' Nord";"76070";;"ROUTE DU CHÂTELET";"76680";"BELLENCOMBRE";"Pylône autostable"; 45.0;"TDF"
1711924;0.53833;49.52056;"00° 32' 18.00'' Est, 49° 31' 14.00'' Nord";"76384";;"33 R HENRI MESSAGER";"76170";"LILLEBONNE";"Immeuble"; 27.0;"Société HLM"
1712023;1.43722;50.01444;"01° 26' 14.00'' Est, 50° 00' 52.00'' Nord";"76638";"L'ORME JOVELIN";"RUE DU TRIOLET STADE";"76260";"SAINT-PIERRE-EN-VAL";"Pylône tubulaire"; 30.0;"SFR"
