Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
1828622;9.16083;41.57111;"09° 09' 39.00'' Est, 41° 34' 16.00'' Nord";"2A288";"BORIVOLI";;"20146";"SOTTA";"Pylône tubulaire"; 13.0;"ORANGE"
1854712;8.72611;41.92611;"08° 43' 34.00'' Est, 41° 55' 34.00'' Nord";"2A004";;"RUE DE CASTIGLIONE";"20000";"AJACCIO";"Immeuble"; 21.4;"Copropriété, Syndic, SCI"
1863174;8.81750;41.96556;"08° 49' 03.00'' Est, 41° 57' 56.00'' Nord";"2A271";"TRENTA COSTA";"ZI DE BALEONE STATION DE COMPOSTAGE DE CONFINELLA";"20167";"SARROLA-CARCOPINO";"Mât métallique"; 1.0;"Société Privée SA"
1875026;9.20000;41.38278;"09° 11' 60.00'' Est, 41° 22' 58.00'' Nord";"2A041";"CORCONE";"CHEMIN DE CORCONE";"20169";"BONIFACIO";"Pylône tubulaire"; 16.5;"IFW-FREE"
1885315;9.31694;41.59861;"09° 19' 01.00'' Est, 41° 35' 55.00'' Nord";"2A247";"PUNTA DI A VARRA";;"20137";"PORTO-VECCHIO";"Pylône autostable"; 40.0;"Société Privée SA"
1885401;9.31917;41.64222;"09° 19' 09.00'' Est, 41° 38' 32.00'' Nord";"2A247";"COLONNA D'ISTRIA";"HAMEAU DE TORRA ARGHIOLA FERME JEAN CHARLES";"20137";"PORTO-VECCHIO";"Pylône autostable"; 14.0;"IFW-FREE"
1886050;8.63361;42.32667;"08° 38' 01.00'' Est, 42° 19' 36.00'' Nord";"2A197";"BOCCA A CORCE";"COL DE LA CROIX";"20147";"OSANI";"Mât métallique"; 5.8;"Commune, communauté de commune"
1887994;9.25528;41.52250;"09° 15' 19.00'' Est, 41° 31' 21.00'' Nord";"2A247";"SANTA GIULIA";"DURABILE ROUTE DE BONIFACIO";"20137";"PORTO-VECCHIO";"Pylône autostable"; 13.8;"IFW-FREE"
1898357;8.67833;41.90861;"08° 40' 42.00'' Est, 41° 54' 31.00'' Nord";"2A004";;"ROUTE DES SANGUINAIRES RUE LES JARDINS DE SANTA LINA";"20090";"AJACCIO";"Bâtiment"; 12.0;"Titulaire programme Radio/TV"
1907517;8.89278;41.97972;"08° 53' 34.00'' Est, 41° 58' 47.00'' Nord";"2A103";"PEDI MORELLA";"STATION TDF DE CUTTOLI CORTICCHIATO";"20167";"CUTTOLI-CORTICCHIATO";"Pylône autostable"; 20.0;"TDF"
1922268;9.27556;41.56278;"09° 16' 32.00'' Est, 41° 33' 46.00'' Nord";"2A247";"FRANGIU";"ARATAGGIU";"20137";"PORTO-VECCHIO";"pylône arbre"; 19.5;"IFW-FREE"
